THEME;STHEME;NOM;NOMMAJ;IDENT;ADRESSE;INFOCOMP;LIEN;X_LONG;Y_LAT
éducation;Ecoles primaires privées;Ecole maternelle et élémentaire Saint Julien Victoire;ECOLE MATERNELLE ET ELEMENTAIRE SAINT JULIEN VICTOIRE;151;61 crs de la Somme, 33800 Bordeaux;;;-0,572543686736514;44,8281287455902
éducation;Ecoles primaires privées;Ecole maternelle et élémentaire Saint Louis - Sainte Thérèse;ECOLE MATERNELLE ET ELEMENTAIRE SAINT LOUIS - SAINTE THERESE;152;16 rue Frère, 33000 Bordeaux;;;-0,574682489872842;44,8521243013726
éducation;Ecoles primaires publiques;Ecole Maternelle Charles Martin;ECOLE MATERNELLE CHARLES MARTIN;153;81 rue Charles Martin, 33300 Bordeaux;;;-0,552546684087625;44,8745148042218
éducation;Ecoles primaires publiques;Ecole Maternelle Carle Vernet;ECOLE MATERNELLE CARLE VERNET;154;8 rue Oscar et Jean Auriac, 33800 Bordeaux;;;-0,555670059876923;44,8157640751242
éducation;Ecoles primaires publiques;Ecole Maternelle Sousa Mendes;ECOLE MATERNELLE SOUSA MENDES;155;11 rue Aristide Sousa Mendès, 33300 Bordeaux;;;-0,570422015437927;44,8637030797431
éducation;Ecoles primaires publiques;Ecole Elémentaire Paul Lapie;ECOLE ELEMENTAIRE PAUL LAPIE;156;pce des Martyrs de la Résistance, 33200 Bordeaux;;;-0,615225129694624;44,8520602594335
éducation;Enseignement artistique;Ecole d'enseignement supérieur d'art de Bordeaux - EBABX;ECOLE D  ENSEIGNEMENT SUPERIEUR D  ART DE BORDEAUX   EBABX;157;7 rue des Beaux Arts, 33800 Bordeaux;;;-0,560561050805088;44,8304990274583
éducation;Ecoles primaires publiques;Ecole Maternelle Albert Schweitzer;ECOLE MATERNELLE ALBERT SCHWEITZER;159;rue du Docteur Albert Schweitzer, 33300 Bordeaux;;;-0,580466573236072;44,8617574194043
éducation;Ecoles primaires publiques;Ecole Maternelle Clos Montesquieu;ECOLE MATERNELLE CLOS MONTESQUIEU;160;1 all CLOS MONTESQUIEU, 33200 Bordeaux;;;-0,631343573607823;44,844894280781
éducation;Ecoles primaires privées;Ecole maternelle et élémentaire Sainte Monique;ECOLE MATERNELLE ET ELEMENTAIRE SAINTE MONIQUE;161;29-31 rue Paul Courteault, 33000 Bordeaux;;;-0,607784149969315;44,8349970723336
