CLE;COMMUNE;DOMANIALITE;NATURE;NOMBRE;OBSERVATIONS;PROPRIETAIRE;QUARTIER;REALISATION;X_LONG;Y_LAT;GEOMETRIE
19670;BORDEAUX;Espace ville;Arceau vélo;20;cam;VILLE;8;Réalisé;-0,625710167238734;44,8426254166912;POINT (-0.625710167238734 44.8426254166912)
19675;BORDEAUX;Voirie;Arceau vélo;10;enface;CUB;3;Réalisé;-0,574500673418693;44,8410893681964;POINT (-0.574500673418693 44.8410893681964)
19677;BORDEAUX;Voirie;Arceau vélo;;;VILLE;3;Réalisé;-0,582286418428242;44,8406230316671;POINT (-0.582286418428242 44.8406230316671)
19681;BORDEAUX;Voirie;Arceau vélo;30;en face;VILLE;8;Réalisé;-0,622324562740253;44,857776935128;POINT (-0.622324562740253 44.857776935128)
19682;BORDEAUX;Voirie;Arceau vélo;36;en face;VILLE;8;Réalisé;-0,620374578533048;44,856941832892;POINT (-0.620374578533048 44.856941832892)
19685;BORDEAUX;Voirie;Arceau vélo;6;;VILLE;2;Réalisé;-0,574204670307522;44,8552429013559;POINT (-0.574204670307522 44.8552429013559)
19686;BORDEAUX;Voirie;Arceau vélo;6;RACK;CUB;2;Réalisé;-0,58463163827675;44,849577357233;POINT (-0.58463163827675 44.849577357233)
19688;BORDEAUX;Voirie;Arceau vélo;;;VILLE;3;Réalisé;-0,594282590502299;44,8524667251161;POINT (-0.594282590502299 44.8524667251161)
19691;BORDEAUX;Voirie;Arceau vélo;18;;CUB;3;Réalisé;-0,596274070625063;44,8497689375178;POINT (-0.596274070625063 44.8497689375178)
19692;BORDEAUX;;Arceau vélo;8;creche;VILLE;6;Réalisé;-0,54963562908394;44,8178148807999;POINT (-0.54963562908394 44.8178148807999)
19694;BORDEAUX;Voirie;Arceau vélo;10;;CUB;6;Réalisé;-0,556991447732861;44,8302192398011;POINT (-0.556991447732861 44.8302192398011)
19695;BORDEAUX;Voirie;Arceau vélo;10;;CUB;6;Réalisé;-0,566834575614152;44,8307300937232;POINT (-0.566834575614152 44.8307300937232)
19696;BORDEAUX;Voirie;Arceau vélo;10;;CUB;1;Réalisé;-0,562109512860032;44,8566631065427;POINT (-0.562109512860032 44.8566631065427)
19697;BORDEAUX;Voirie;Arceau vélo;26;;CUB;7;Réalisé;-0,561297899809595;44,8418081464981;POINT (-0.561297899809595 44.8418081464981)
19698;BORDEAUX;Voirie;Arceau vélo;;;VILLE;7;Réalisé;-0,547445842364775;44,848106296233;POINT (-0.547445842364775 44.848106296233)
19700;BORDEAUX;Voirie;Arceau vélo;6;;CUB;7;Réalisé;-0,540087302474718;44,8521343963466;POINT (-0.540087302474718 44.8521343963466)
19701;BORDEAUX;Voirie;Arceau vélo;22;;VILLE;7;Réalisé;-0,557659929629076;44,8439972813353;POINT (-0.557659929629076 44.8439972813353)
19702;BORDEAUX;Voirie;Arceau vélo;6;public;CUB;1;Réalisé;-0,544549236890312;44,8769472415827;POINT (-0.544549236890312 44.8769472415827)
19705;BORDEAUX;Voirie;Arceau vélo;14;tennis;CUB;3;Réalisé;-0,588526387951173;44,8373923117498;POINT (-0.588526387951173 44.8373923117498)
19706;BORDEAUX;;Arceau vélo;72;cour piscine;VILLE;3;Réalisé;-0,591153816601049;44,8407860178016;POINT (-0.591153816601049 44.8407860178016)
19709;BORDEAUX;Voirie;Arceau vélo;;;VILLE;3;Réalisé;-0,587601197955057;44,8421275924444;POINT (-0.587601197955057 44.8421275924444)
19711;BORDEAUX;Voirie;Arceau vélo;6;;VILLE;3;Réalisé;-0,588882678434031;44,83889858254;POINT (-0.588882678434031 44.83889858254)
19713;BORDEAUX;Voirie;Arceau vélo;;;VILLE;4;Réalisé;-0,591098497309315;44,8298109038857;POINT (-0.591098497309315 44.8298109038857)
19714;BORDEAUX;Voirie;Arceau vélo;;;VILLE;4;Réalisé;-0,601969373841797;44,8328578572659;POINT (-0.601969373841797 44.8328578572659)
19715;BORDEAUX;Voirie;Arceau vélo;28;bibli;VILLE;3;Réalisé;-0,586745225943792;44,835125638686;POINT (-0.586745225943792 44.835125638686)
19717;BORDEAUX;Voirie;Arceau vélo;;;VILLE;4;Réalisé;-0,598033927310215;44,8313459460373;POINT (-0.598033927310215 44.8313459460373)
19718;BORDEAUX;;Arceau vélo;20;bibli interieur;VILLE;3;Réalisé;-0,586745225943792;44,835125638686;POINT (-0.586745225943792 44.835125638686)
19720;BORDEAUX;Voirie;Arceau vélo;8;en face;CUB;3;Réalisé;-0,586215073657299;44,8427568995499;POINT (-0.586215073657299 44.8427568995499)
19722;BORDEAUX;Voirie;Arceau vélo;10;bowling meriadeck;VILLE;3;Réalisé;-0,587598492875507;44,8373372548352;POINT (-0.587598492875507 44.8373372548352)
19725;BORDEAUX;Voirie;Arceau vélo;78;bibli;VILLE;3;Réalisé;-0,586745225943792;44,835125638686;POINT (-0.586745225943792 44.835125638686)
19727;BORDEAUX;Voirie;Arceau vélo;;;VILLE;4;Réalisé;-0,596031339679826;44,8300190281353;POINT (-0.596031339679826 44.8300190281353)
19728;BORDEAUX;Voirie;Arceau vélo;6;halle;CUB;6;Réalisé;-0,568132159679324;44,8309496494166;POINT (-0.568132159679324 44.8309496494166)
19729;BORDEAUX;Voirie;Arceau vélo;6;halle;CUB;6;Réalisé;-0,568399953756924;44,8302638473207;POINT (-0.568399953756924 44.8302638473207)
19730;BORDEAUX;Voirie;Arceau vélo;8;halle;CUB;6;Réalisé;-0,5673710460672;44,8300347902111;POINT (-0.5673710460672 44.8300347902111)
19731;BORDEAUX;Voirie;Arceau vélo;10;halle;CUB;6;Réalisé;-0,566976935815063;44,8306699611488;POINT (-0.566976935815063 44.8306699611488)
19738;BORDEAUX;Voirie;Arceau vélo;32;sncf;CUB;6;Réalisé;-0,554513566381577;44,8251396218458;POINT (-0.554513566381577 44.8251396218458)
19745;BORDEAUX;Voirie;Arceau vélo;16;;CUB;6;Réalisé;-0,557222274879929;44,8246679753649;POINT (-0.557222274879929 44.8246679753649)
19746;BORDEAUX;Voirie;Arceau vélo;8;;CUB;6;Réalisé;-0,557357555888283;44,8266173052068;POINT (-0.557357555888283 44.8266173052068)
19747;BORDEAUX;Voirie;Arceau vélo;12;;CUB;6;Réalisé;-0,560639654041604;44,8323429805847;POINT (-0.560639654041604 44.8323429805847)
19748;BORDEAUX;Voirie;Arceau vélo;6;;CUB;7;Réalisé;-0,558012381020705;44,841143079751;POINT (-0.558012381020705 44.841143079751)
19749;BORDEAUX;Voirie;Arceau vélo;6;;CUB;7;Réalisé;-0,558110813092357;44,841086584885;POINT (-0.558110813092357 44.841086584885)
19750;BORDEAUX;Voirie;Arceau vélo;6;;CUB;7;Réalisé;-0,55962907712251;44,8397969937502;POINT (-0.55962907712251 44.8397969937502)
19751;BORDEAUX;Voirie;Arceau vélo;8;cafe du port;VILLE;7;Réalisé;-0,558073880904357;44,8380350303646;POINT (-0.558073880904357 44.8380350303646)
19753;BORDEAUX;Voirie;Arceau vélo;6;EMPLOYES CRECHE;CUB;1;Réalisé;-0,564746986372985;44,8616034766276;POINT (-0.564746986372985 44.8616034766276)
19755;BORDEAUX;Voirie;Arceau vélo;6;;VILLE;2;Réalisé;-0,570779788680954;44,8438933687611;POINT (-0.570779788680954 44.8438933687611)
19756;BORDEAUX;Voirie;Arceau vélo;12;;VILLE;2;Réalisé;-0,571161628202832;44,847503512935;POINT (-0.571161628202832 44.847503512935)
19758;BORDEAUX;Voirie;Arceau vélo;10;public;CUB;1;Réalisé;-0,557117572573696;44,8588860850572;POINT (-0.557117572573696 44.8588860850572)
19759;BORDEAUX;Voirie;Arceau vélo;10;public;CUB;1;Réalisé;-0,568330320200082;44,8539588155738;POINT (-0.568330320200082 44.8539588155738)
19760;BORDEAUX;Voirie;Arceau vélo;8;public;CUB;1;Réalisé;-0,559297185949641;44,857904097688;POINT (-0.559297185949641 44.857904097688)
19761;BORDEAUX;Voirie;Arceau vélo;6;public;CUB;1;Réalisé;-0,556461292716108;44,8591816933432;POINT (-0.556461292716108 44.8591816933432)
19762;BORDEAUX;Voirie;Arceau vélo;10;public;PRIVE;1;Réalisé;-0,563342163820957;44,8595676995173;POINT (-0.563342163820957 44.8595676995173)
19763;BORDEAUX;Voirie;Arceau vélo;24;COTE FLEUVE;PRIVE;1;Réalisé;-0,565650462644597;44,8540890984181;POINT (-0.565650462644597 44.8540890984181)
19767;BORDEAUX;Voirie;Arceau vélo;12;public;CUB;1;Réalisé;-0,554878340209544;44,8599415931836;POINT (-0.554878340209544 44.8599415931836)
19768;BORDEAUX;Voirie;Arceau vélo;10;COTE FLEUVE;CUB;1;Réalisé;-0,557117572573696;44,8588860850572;POINT (-0.557117572573696 44.8588860850572)
19769;BORDEAUX;Voirie;Arceau vélo;10;COTE FLEUVE;CUB;1;Réalisé;-0,555483628532124;44,8596383090778;POINT (-0.555483628532124 44.8596383090778)
19770;BORDEAUX;Voirie;Arceau vélo;14;COTE FLEUVE;CUB;1;Réalisé;-0,570789744651912;44,8489355656773;POINT (-0.570789744651912 44.8489355656773)
19771;BORDEAUX;Voirie;Arceau vélo;6;COTE FLEUVE;CUB;1;Réalisé;-0,570454393072429;44,8495743055818;POINT (-0.570454393072429 44.8495743055818)
19772;BORDEAUX;Voirie;Arceau vélo;8;COTE FLEUVE;CUB;1;Réalisé;-0,570237029632399;44,8500390016057;POINT (-0.570237029632399 44.8500390016057)
19773;BORDEAUX;Voirie;Arceau vélo;8;COTE FLEUVE;CUB;1;Réalisé;-0,570001952143967;44,8506572087368;POINT (-0.570001952143967 44.8506572087368)
19774;BORDEAUX;Voirie;Arceau vélo;8;COTE FLEUVE;CUB;1;Réalisé;-0,569906531508465;44,8507766752828;POINT (-0.569906531508465 44.8507766752828)
19775;BORDEAUX;Voirie;Arceau vélo;4;COTE FLEUVE;CUB;1;Réalisé;-0,5689656010355;44,8517097772215;POINT (-0.5689656010355 44.8517097772215)
19776;BORDEAUX;Voirie;Arceau vélo;4;COTE FLEUVE;CUB;1;Réalisé;-0,568603711653716;44,8520700042813;POINT (-0.568603711653716 44.8520700042813)
19778;BORDEAUX;Voirie;Arceau vélo;8;COTE FLEUVE;CUB;1;Réalisé;-0,568531421596405;44,8521438844152;POINT (-0.568531421596405 44.8521438844152)
19779;BORDEAUX;Voirie;Arceau vélo;14;COTE FLEUVE;CUB;1;Réalisé;-0,568015440122905;44,8527151335854;POINT (-0.568015440122905 44.8527151335854)
