Entité Juridique;Décision budgétaire;Exercice;Entité Financière;Nomenclature comptable;Type de mouvements;Section;Chapitre budgétaire;Libellé Chapitre budgétaire;Chapitre par nature;Libellé chapitre par nature;Nature comptable;Libellé Nature comptable;Fonction;Libellé Fonction;Mt Dépenses;Mt Recettes
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;65744;subv pers dt privé-drh-mutuelles;323;Archives;1775;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;65744;subv pers dt privé-drh-mutuelles;33;Action culturelle;1927;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;65744;subv pers dt privé-drh-mutuelles;831;Aménagement des eaux;15;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;67;Charges exceptionnelles;67;Charges exceptionnelles;6713;Secours et dots;211;Ecoles maternelles;2640;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;67;Charges exceptionnelles;67;Charges exceptionnelles;6713;Secours et dots;312;Arts plastiques et autres activités artistiques;249;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;67;Charges exceptionnelles;67;Charges exceptionnelles;6714;Bourses et prix;33;Action culturelle;339000;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;70;Produits des services, du domaine et ventes diverses;70322;Droits de stationnement et de location sur le domaine public portuaire et fluvial;831;Aménagement des eaux;0;60000
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;70;Produits des services, du domaine et ventes diverses;70323;Redevance d'occupation du domaine public communal;822;Voirie communale et routes;0;3022000
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;70;Produits des services, du domaine et ventes diverses;70388;Autres redevances et recettes diverses;01;Opérations non ventilables;0;1400000
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;70;Produits des services, du domaine et ventes diverses;70388;Autres redevances et recettes diverses;822;Voirie communale et routes;0;482100
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;70;Produits des services, du domaine et ventes diverses;704;Travaux;020;Administration générale de la collectivité;0;3000
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;70;Produits des services, du domaine et ventes diverses;7062;Redevances et droits des services à caractère culturel;322;Musées;0;1327000
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;70;Produits des services, du domaine et ventes diverses;70631;Redevances et droits des services à caractère sportif;422;Autres activités pour les jeunes;0;140000
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;70;Produits des services, du domaine et ventes diverses;7066;Redevances et droits des services à caractère social;421;Centres de loisirs;0;430000
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;70;Produits des services, du domaine et ventes diverses;7066;Redevances et droits des services à caractère social;64;Crèches et garderies;0;3758000
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;70;Produits des services, du domaine et ventes diverses;70848;Mise à disposition de personnel facturée aux autres organismes;025;Aides aux associations (non classées ailleurs);0;1200
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;70;Produits des services, du domaine et ventes diverses;70878 ;Remboursement des frais par d'autres redevables;020;Administration générale de la collectivité;0;222602
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;70;Produits des services, du domaine et ventes diverses;70878 ;Remboursement des frais par d'autres redevables;321;Bibliothèques et médiathèques;0;35000
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;70;Produits des services, du domaine et ventes diverses;7088;Autres produits d'activités annexes (abonnements et ventes d'ouvrages...);33;Action culturelle;0;5000
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;73;Impôts et taxes;73;Impôts et taxes;73111;TAXES FONCIERES ET D HABITATION;01;Opérations non ventilables;0;196600000
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;73;Impôts et taxes;73;Impôts et taxes;7322;Dotation de solidarité communautaire;01;Opérations non ventilables;0;3300000
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;73;Impôts et taxes;73;Impôts et taxes;7338;Autres taxes;414;Autres équipements sportifs ou de loisir;0;15370
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;73;Impôts et taxes;73;Impôts et taxes;7362;Taxes de séjour;95;Aides au tourisme;0;1350000
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;74;Dotations, subventions et participations;74;Dotations, subventions et participations;746;Dotation générale de décentralisation;510;Services communs;0;2000000
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;74;Dotations, subventions et participations;74;Dotations, subventions et participations;74718;Autres participations de l'Etat;251;Hébergement et restauration scolaire;0;80000
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;74;Dotations, subventions et participations;74;Dotations, subventions et participations;74718;Autres participations de l'Etat;322;Musées;0;129438
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;74;Dotations, subventions et participations;74;Dotations, subventions et participations;74718;Autres participations de l'Etat;524;Autres services;0;191000
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;74;Dotations, subventions et participations;74;Dotations, subventions et participations;7472;Participations des régions;020;Administration générale de la collectivité;0;4573
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;74;Dotations, subventions et participations;74;Dotations, subventions et participations;7473;Participations des Départements;814;Eclairage public;0;20000
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;74;Dotations, subventions et participations;74;Dotations, subventions et participations;7477;Participations du budget communautaire et fonds structurels;048;Autres actions de coopération décentralisée;0;45000
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;74;Dotations, subventions et participations;74;Dotations, subventions et participations;7478;Participations des autres organismes;255;Classes de découverte et autres services annexes de l'enseignement;0;3100000
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;74;Dotations, subventions et participations;74;Dotations, subventions et participations;7478;Participations des autres organismes;322;Musées;0;490000
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;74;Dotations, subventions et participations;74;Dotations, subventions et participations;7478;Participations des autres organismes;524;Autres services;0;902800
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;74;Dotations, subventions et participations;74;Dotations, subventions et participations;7478;Participations des autres organismes;64;Crèches et garderies;0;11997000
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;74;Dotations, subventions et participations;74;Dotations, subventions et participations;74833;Etat - Compensation au titre de la Contribution Économique Territoriale;01;Opération non ventilable;0;4600000
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;74;Dotations, subventions et participations;74;Dotations, subventions et participations;74834;Etat - Compensation au titre des exonérations des taxes foncières;01;Opération non ventilable;0;1850000
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;75;Autres produits de gestion courante;75;Autres produits de gestion courante;752;Revenus des immeubles;313;Théâtres;0;482958
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;75;Autres produits de gestion courante;75;Autres produits de gestion courante;752;Revenus des immeubles;412;Stades;0;249300
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;024;Fêtes et cérémonies;39820;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;114;Autres services de protection civile;110475;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;20;Services communs;304277;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;213;Classes regroupées;899477;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;251;Hébergement et restauration scolaire;305874;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;255;Classes de découverte et autres services annexes de l'enseignement;197414;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;321;Bibliothèques et médiathèques;1465433;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;33;Action culturelle;238430;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;520;Services communs;581415;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;523;Actions en faveur des personnes en difficulté;3372;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;820;Services communs;581396;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;021;Assemblée locale;76448;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;114;Autres services de protection civile;186117;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;251;Hébergement et restauration scolaire;517078;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;40;Services communs;2978829;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;423;Colonies de vacances;9491;0
