_IDOBJ;NOM_COMPLET;THEME;LIBTHEME;CATEGORIE;LIBCATEGORIE;TYPE;LIBTYPE;STATUT;COMMUNE;ADRESSE;TELEPHONE;WEB;CODE_POSTAL;Y_LAT;X_LONG
32;Gymnase Gobelets Ripossière;6;SPORTS;603;Gymnase;;;Ville de Nantes;NANTES;24 Rue des Gobelets;02 40 03 45 18;;44200;47,1910659920083;-1,52936590210597
34;Gymnase Raphaël Lebel;6;SPORTS;603;Gymnase;;;Ville de Nantes;NANTES;16 Boulevard Auguste Péneau;02 40 49 46 07;;44300;47,2282590704611;-1,51222501260675
36;Gymnase Doulon;6;SPORTS;603;Gymnase;;;Ville de Nantes;NANTES;1 Rue de la Basse Chénaie;02 40 50 39 16;;44300;47,2372383103632;-1,51029286158558
37;Centre Sportif Croissant;6;SPORTS;601;Centre sportif;;;Ville de Nantes;NANTES;29 Rue du Croissant;02 40 52 09 21;;44300;47,2351002409264;-1,52250611892111
41;Gymnase Malakoff 4;6;SPORTS;603;Gymnase;;;Ville de Nantes;NANTES;16 Rue d'Angleterre;02 40 47 41 82;;44000;47,2146953649976;-1,52857641995758
42;Gymnase Albert Camus;6;SPORTS;603;Gymnase;;;Ville de Nantes;NANTES;2 Rue du Bois de la Musse;02 40 46 23 35;;44100;47,2035712201959;-1,61090292783313
44;Gymnase La Halvêque;6;SPORTS;603;Gymnase;;;Ville de Nantes;NANTES;2 Rue du Moulin de la Halvêque;02 40 50 31 42;;44300;47,2537355401747;-1,51723434629303
45;Gymnase Urbain Le Verrier;6;SPORTS;603;Gymnase;;;Ville de Nantes;NANTES;11 Rue Urbain Le Verrier;02 40 49 76 94;;44300;47,241523594468;-1,52150628321785
46;Gymnase des Marsauderies;6;SPORTS;603;Gymnase;;;Ville de Nantes;NANTES;137 Boulevard Jules Verne;02 40 49 76 98;;44300;47,2425205913952;-1,52946788379463
48;Gymnase Chantenaysienne;6;SPORTS;603;Gymnase;;;Ville de Nantes;NANTES;17 Rue du Quatre Septembre 1870;02 40 58 14 78;;44100;47,2069254452754;-1,59051123448175
50;Gymnase Jean Zay Bellevue;6;SPORTS;603;Gymnase;;;Ville de Nantes;NANTES;15B Rue Yves Kartel;02 40 43 10 60;;44100;47,2082910721207;-1,60741124990384
51;Gymnase Jamet;6;SPORTS;603;Gymnase;;;Ville de Nantes;NANTES;65 Route de Saint Herblain;02 40 46 79 59;;44100;47,2104278349921;-1,60388252601688
52;Complexe Sportif de la Durantière;6;SPORTS;603;Gymnase;;;Ville de Nantes;NANTES;70 Rue de la Durantière;02 40 46 92 87;;44100;47,2141254689289;-1,60509557209857
53;Gymnase Pierre de Coubertin;6;SPORTS;603;Gymnase;;;Ville de Nantes;NANTES;115 Boulevard du Massacre;02 40 94 29 50;;44100;47,2305298815958;-1,59366789931119
56;Gymnase Jean Ogé;6;SPORTS;603;Gymnase;;;Ville de Nantes;NANTES;Allée Sonia Delaunay;02 40 46 13 04;www.nantes.fr/accueil/;44100;47,2261929641064;-1,59573765025371
57;Complexe Sportif Dervallières;6;SPORTS;603;Gymnase;;;Ville de Nantes;NANTES;19 Rue Jean Marc Nattier;02 40 46 13 04;;44100;47,2259611738148;-1,59182606948918
58;Gymnase Longchamp;6;SPORTS;603;Gymnase;;;Ville de Nantes;NANTES;Avenue Junon;02 40 40 79 97;;44300;47,2409417884044;-1,57776513067268
