code_politique_dominante;description_politique_dominante;code_secteur_intervention;description_secteur_intervention;code_sous_secteur;description_sous_secteur_interv;code_programme;description_programme;nature_affect_operation;vsectsubv;vmt_bp
B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P022;Rayonnement culturel;Depense;Investissement;10000
B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P022;Rayonnement culturel;Recette;Fonctionnement;0
B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P022;Rayonnement culturel;Recette;Investissement;0
B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P023;Securite dans les bâtiments culturels;Depense;Fonctionnement;750000
B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P023;Securite dans les bâtiments culturels;Depense;Investissement;700000
B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P023;Securite dans les bâtiments culturels;Recette;Fonctionnement;0
B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P124;Equipements culturels assujettis;Depense;Investissement;30000
B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P134;Auditorium (TVA);Depense;Fonctionnement;0
B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P134;Auditorium (TVA);Depense;Investissement;173000
B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P134;Auditorium (TVA);Recette;Fonctionnement;0
B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P139;Base sous-marine;Depense;Fonctionnement;241100
B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P139;Base sous-marine;Depense;Investissement;150000
B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P139;Base sous-marine;Recette;Fonctionnement;10000
C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P024;Commerce et artisanat;Depense;Fonctionnement;25000
C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P024;Commerce et artisanat;Depense;Investissement;100000
C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P024;Commerce et artisanat;Depense;Subventions;287500
C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P024;Commerce et artisanat;Recette;Fonctionnement;10000
C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P024;Commerce et artisanat;Recette;Investissement;0
C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P025;Croissance et Filières;Depense;Fonctionnement;220660
C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P025;Croissance et Filières;Depense;Investissement;0
C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P025;Croissance et Filières;Depense;Subventions;310775
C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P025;Croissance et Filières;Recette;Investissement;48997,5
C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P026;Emploi;Depense;Fonctionnement;17811
C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P026;Emploi;Depense;Investissement;0
C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P026;Emploi;Depense;Subventions;516500
C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P026;Emploi;Recette;Fonctionnement;0
