entityid;code_politique_dominante;description_politique_dominante;code_secteur_intervention;description_secteur_intervention;code_sous_secteur;description_sous_secteur_interv;code_programme;description_programme;nature_affect_operation;vsectsubv;vmt_bp
03022c3d-942c-49a0-8d64-69a342fc8a16;D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-02;Gestion de la voie publique;;;P041;Stationnement et circulation;Depense;Investissement;400000
04811fe6-3305-4b16-8f03-20a4f573557d;J-;PERFORMANCE DE LA COLLECTIVITE;J-04;Strategie et gestion immo.;;;P107;Gestion immobilière assujettie;Recette;Investissement;0
04ede331-6592-4fac-be0a-4068573712d1;C-;DEVELOPPEMENT URBAIN DURABLE;C-02;Amenagement urbain;;;P140;Amenagement Brazza Nord;Depense;Investissement;0
05660005-5d6a-43e5-a90d-b13b3f7f3b72;J-;PERFORMANCE DE LA COLLECTIVITE;J-05;Logistique et exploitation;;;P112;Logistique;Depense;Subventions;15000
0583dae4-8cb5-42ac-9ea3-6897ae82ea70;J-;PERFORMANCE DE LA COLLECTIVITE;J-05;Logistique et exploitation;;;P144;Gestion des equipements DGST;Depense;Fonctionnement;163900
05fd5e3d-626c-4c35-8a9e-e3f3021b630b;C-;DEVELOPPEMENT URBAIN DURABLE;C-04;Vie et depl. dans les esp.urb.;;;P034;Amenagement des espaces de circulation;Recette;Fonctionnement;40000
06947ba6-894c-41fc-b3a2-d77d5d309427;A-;ATTRACTIVITE ET RAYONNEMENT;A-04;Tourisme;;;P007;Equipements fluviaux;Depense;Fonctionnement;14470
07576955-929e-4784-8630-62f3cbe9f45b;F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0302;Construction et gestion des equipements;P060;Gestion salles et stades;Recette;Investissement;0
07c65cc6-08dd-4772-8ba3-d3e77ca43c2d;G-;Vie en societe;G-03;Jeunesse;;;P071;Engagement et participations des jeunes;Depense;Fonctionnement;23500
085e26eb-34b9-4ec6-ab25-53fe8f1c6ebf;J-;PERFORMANCE DE LA COLLECTIVITE;J-01;Gestion dev. Ress. humaines;;;P096;Restauration du personnel assujettie;Depense;Investissement;0
088f6e2f-a57a-4f95-bfe8-2eb663750f4a;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-03;Pilotage strategique et eval.;;;P090;Evaluation et performance;Depense;Fonctionnement;10000
093ed331-19d9-4860-bb6c-b862d8bbadef;J-;PERFORMANCE DE LA COLLECTIVITE;J-04;Strategie et gestion immo.;;;P107;Gestion immobilière assujettie;Depense;Fonctionnement;0
09b76006-8459-4e6a-af9e-216c9f01146e;A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P003;Restauration des edifices patrimoniaux;Depense;Fonctionnement;30000
0a6a2736-a062-4be6-bc8e-9df6de43babe;A-;ATTRACTIVITE ET RAYONNEMENT;A-04;Tourisme;;;P126;Cite des civilisations du vin;Depense;Fonctionnement;0
0a742920-cbfb-4ab3-ae21-c02f5f1d99b5;C-;DEVELOPPEMENT URBAIN DURABLE;C-06;Paysages et patrimoine urbains;;;P037;Paysages urbains;Recette;Investissement;2287651
0adefab7-3e38-4664-a853-b51b64964a0f;C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P026;Emploi;Recette;Fonctionnement;0
0b717ba1-72e0-450a-8ae7-073027141cf4;G-;Vie en societe;G-04;Developpement social terr.;;;P072;Accompagnement des projets de quartier;Recette;Fonctionnement;138550
0ca21977-de87-4108-9961-9170f9fd15d2;E-;PREVENTION DES RISQUES ET TRANQUILLITE;E-02;Prevention des risques;;;P048;Prevention Sante Environnement Securite;Depense;Investissement;38000
0d65f0cd-8085-40c4-99ce-d561ae0ceb48;A-;ATTRACTIVITE ET RAYONNEMENT;A-04;Tourisme;;;P130;Equipements fluviaux (TVA);Depense;Fonctionnement;0
0e2629ab-fa4f-4248-8364-55ef61bd7abb;C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P024;Commerce et artisanat;Depense;Investissement;0
0e738a13-5300-4579-866a-09e30bd505ce;F-;DEVELOPPEMENT SPORTIF;F-01;Equipements sportifs struct.;F-0101;Equipements structurants delegues;P050;DSP Golf Bordeaux Lac;Recette;Fonctionnement;0
0efdf825-0134-4430-a807-45e703bd9b9e;H-;VIE DEMOCRATIQUE;H-03;Accueil et citoyennete;;;P084;Services à la population;Depense;Investissement;0
116afec4-02dd-42db-805d-ee1d49c4f896;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-04;Communication externe;;;P091;Communication externe;Depense;Fonctionnement;1300000
13677db0-9321-4cec-ab71-bdcc8b218b72;C-;DEVELOPPEMENT URBAIN DURABLE;C-02;Amenagement urbain;;;P029;Amenagement;Recette;Fonctionnement;0
141c2b54-b1f7-4749-9a63-b29c6e78f438;D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-03;Gestion maintien patrim. vert;;;P045;Proximite et animation;Recette;Investissement;0
14e36574-4185-4e34-9a5d-928bc98d5a46;B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P014;Musee des Arts decoratifs;Depense;Fonctionnement;45000
16b677c9-38be-43a1-b08f-c0c5cf06f756;C-;DEVELOPPEMENT URBAIN DURABLE;C-06;Paysages et patrimoine urbains;;;P038;Lycee horticole;Depense;Investissement;105000
1730efe3-ebd9-4f38-8933-8d0f2698fd87;F-;DEVELOPPEMENT SPORTIF;F-01;Equipements sportifs struct.;F-0102;Equipements structurants en regie;P054;Palais des sports;Depense;Fonctionnement;12000
177d973e-a1e9-4910-971b-804fbc803b2a;A-;ATTRACTIVITE ET RAYONNEMENT;A-04;Tourisme;;;P130;Equipements fluviaux (TVA);Depense;Investissement;1198407
184477dd-671a-4a6b-83fa-4b44063aa1e4;G-;Vie en societe;G-03;Jeunesse;;;P069;Accueil educatifs et de loisirs;Depense;Fonctionnement;79700
18929254-5f6c-4fd4-b35c-933f3db34e76;B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P017;Developpement des musees;Recette;Investissement;0
18e18c11-6c75-4d4a-badb-fb2d097891f8;G-;Vie en societe;G-04;Developpement social terr.;;;P127;Accompagnement de projets transversaux;Depense;Fonctionnement;160000
1966e94f-b9e3-4013-b673-1805658e42ab;G-;Vie en societe;G-03;Jeunesse;;;P070;Accueil et hebergement;Depense;Investissement;115000
196fee41-592c-47e7-b67b-3ce7c63ab9fb;H-;VIE DEMOCRATIQUE;H-02;Democratie locale et participation citoyenne;;;P083;Democratie locale et participation citoyenne;Depense;Investissement;163720
19c4d355-6004-4e1d-8242-9ff2790a6434;G-;Vie en societe;G-02;Education;;;P141;Magasin mutualise;Depense;Fonctionnement;465000
19ed7cdc-75d9-4cf8-a38f-ed63e0a8b6ec;G-;Vie en societe;G-01;Petite enfance;;;P063;Structures sous gestion externe;Depense;Subventions;7422944
1ad57b64-193c-4536-8424-8e495ccfb66b;F-;DEVELOPPEMENT SPORTIF;F-01;Equipements sportifs struct.;F-0102;Equipements structurants en regie;P125;Salle Jean Dauguet;Depense;Investissement;150000
1af87a39-b3cb-4081-90fe-4a436f853ae2;F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0301;Partenariats et animation;P056;Partenariats avec les clubs;Depense;Subventions;1395360
1b32c8d2-1229-4ca0-83a0-566302053451;G-;Vie en societe;G-03;Jeunesse;;;P138;Rythmes scolaires;Recette;Fonctionnement;790000
1bb024a6-ac71-4a0f-a62a-a9135f805ef4;B-;DEVELOPPEMENT CULTUREL;B-01;Enseignement artistique;;;P010;Conservatoire de Bordeaux;Depense;Subventions;7150
1c37f95a-0e28-4a9f-8630-ff1566948cd4;F-;DEVELOPPEMENT SPORTIF;F-01;Equipements sportifs struct.;F-0101;Equipements structurants delegues;P132;Stadium;Recette;Investissement;0
1c3f103d-6b48-4582-9606-76fa22528594;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-01;Delegation au dev. durable;;;P086;Maison eco-citoyenne;Depense;Investissement;0
1cf29e8b-6785-4ea8-a1cc-c9eaa6284518;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-01;Delegation au dev. durable;;;P086;Maison eco-citoyenne;Depense;Fonctionnement;53000
1d4034b0-7312-464a-8034-888e80765d10;G-;Vie en societe;G-02;Education;;;P067;Vie scolaire;Recette;Fonctionnement;5849000
1dda3e3b-b82c-463b-879c-8c621321f63c;B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P022;Rayonnement culturel;Depense;Investissement;0
1de140a7-9512-48ca-b8d3-5988030e8f55;J-;PERFORMANCE DE LA COLLECTIVITE;J-03;Securite jur. et Commande pub.;;;P103;Concurrence et commande publique;Depense;Investissement;0
1e457c91-22ac-4fc2-a750-3d8baf7db0dd;G-;Vie en societe;G-02;Education;;;P065;Patrimoine et equipements de l'education;Depense;Investissement;9144066,64
1f385308-cc1e-4cb9-ae20-b51edfff2c21;G-;Vie en societe;G-06;Cohesion sociale transversale;;;P073;Projet social;Depense;Fonctionnement;5400
1f440252-e797-41b9-81d9-bc1ff164348b;J-;PERFORMANCE DE LA COLLECTIVITE;J-01;Gestion dev. Ress. humaines;;;P095;Prestations aux services et frais generaux;Depense;Fonctionnement;2125000
1f63e170-078e-4028-bad3-1e1a0d164b97;H-;VIE DEMOCRATIQUE;H-01;Vie associative;;;P079;Structures d'animation et proximite;Depense;Investissement;58000
2236bbd1-d50e-4905-8c30-fcc7f4067a75;G-;Vie en societe;G-06;Cohesion sociale transversale;;;P074;Promouvoir l'egalite;Depense;Fonctionnement;7495000
23027013-348e-48fb-bb73-4c4b76e75dec;G-;Vie en societe;G-04;Developpement social terr.;;;P121;Sante;Depense;Fonctionnement;0
231db1f4-8c15-48f2-8925-d22ac63884d8;D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-02;Gestion de la voie publique;;;P082;Territoire et proximite;Depense;Fonctionnement;119920
24bf8183-3d9a-4e53-89df-b546a7adebd7;E-;PREVENTION DES RISQUES ET TRANQUILLITE;E-02;Prevention des risques;;;P047;Prevention, securite incendie et accessibilite dans les ERP;Depense;Investissement;0
25cad8ea-1536-4e8c-8de1-3ae86d2000d9;C-;DEVELOPPEMENT URBAIN DURABLE;C-05;Eclairage;;;P035;Eclairage;Depense;Fonctionnement;4412507
25dac460-a4a6-4bdd-ad2a-7da3f5b6a975;A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P005;Animation du patrimoine;Recette;Investissement;0
261d472d-e3ab-4839-a59f-108f3a54dbd6;G-;Vie en societe;G-03;Jeunesse;;;P071;Engagement et participations des jeunes;Recette;Fonctionnement;4500
2624177d-701f-4f9e-9286-1bc0692a1982;C-;DEVELOPPEMENT URBAIN DURABLE;C-02;Amenagement urbain;;;P030;Droit des sols;Depense;Investissement;0
2647cadb-66a4-4c94-b52d-23e17bff8f3b;G-;Vie en societe;G-06;Cohesion sociale transversale;;;P074;Promouvoir l'egalite;Depense;Subventions;43700
268e8776-b0b3-4c52-a1a3-64901a70dc33;C-;DEVELOPPEMENT URBAIN DURABLE;C-05;Eclairage;;;P035;Eclairage;Recette;Investissement;0
2746dca9-1311-40ae-9077-ae4e47acc49e;F-;DEVELOPPEMENT SPORTIF;F-01;Equipements sportifs struct.;F-0101;Equipements structurants delegues;P051;Nouveau stade (TVA);Recette;Fonctionnement;25850000
27e1e1ca-a1c2-4b68-a1dc-500c5f61967f;E-;PREVENTION DES RISQUES ET TRANQUILLITE;E-02;Prevention des risques;;;P047;Prevention, securite incendie et accessibilite dans les ERP;Depense;Fonctionnement;0
282d273e-d0ca-4577-bab1-cf4be267d153;G-;Vie en societe;G-02;Education;;;P067;Vie scolaire;Depense;Fonctionnement;14622747
28af025a-e303-493f-8505-4162fa734579;A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P004;Mises en lumière;Depense;Investissement;0
2a1b4040-65f7-4e04-a96e-a324f925cbf6;D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-03;Gestion maintien patrim. vert;;;P044;Preservation et gestion du patrimoine vert;Depense;Subventions;0
2a6a69e5-2c94-4a86-9774-7cc97a8c7d0f;A-;ATTRACTIVITE ET RAYONNEMENT;A-04;Tourisme;;;P007;Equipements fluviaux;Recette;Fonctionnement;0
2ae39685-bc24-4bb0-83c4-7feda0833e0c;B-;DEVELOPPEMENT CULTUREL;B-01;Enseignement artistique;;;P010;Conservatoire de Bordeaux;Depense;Fonctionnement;318680
2af36dc7-04bb-4111-b236-16ea58e0af80;B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P021;Actions de developpement artistique;Depense;Investissement;103000
2bde5953-0eb1-4860-b9f5-d5fef944e1ca;E-;PREVENTION DES RISQUES ET TRANQUILLITE;E-01;Tranquillite publique;;;P046;Police municipale;Depense;Investissement;150000
2be9dfe3-a7e8-4ebf-beb4-2739dad1a09e;B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P022;Rayonnement culturel;Recette;Fonctionnement;12000
2e58e5fd-eb28-4b10-9258-fe768b6afb09;J-;PERFORMANCE DE LA COLLECTIVITE;J-04;Strategie et gestion immo.;;;P108;Construction publique, maintenance et energies;Depense;Fonctionnement;13631180
2f6990a3-2701-4be4-8359-09fd9a37fd90;J-;PERFORMANCE DE LA COLLECTIVITE;J-02;Gestion financière;;;P099;Operations avec TVA;Depense;Fonctionnement;130300
2f8e6e68-98a7-4ed9-a58f-d8cda4ac6bec;G-;Vie en societe;G-03;Jeunesse;;;P138;Rythmes scolaires;Depense;Investissement;0
313600fd-9496-4f44-9118-337051835f96;G-;Vie en societe;G-02;Education;;;P068;Vie etudiante;Depense;Subventions;9100
31510d90-f096-4bb8-b87b-627b08646e81;J-;PERFORMANCE DE LA COLLECTIVITE;J-01;Gestion dev. Ress. humaines;;;P093;Medecine et prevention;Depense;Fonctionnement;50000
31624589-c18a-4380-9ae9-06d21c40ee2d;G-;Vie en societe;G-03;Jeunesse;;;P138;Rythmes scolaires;Depense;Fonctionnement;26000
317452cc-635d-4764-b8ba-6543bf7bcafe;C-;DEVELOPPEMENT URBAIN DURABLE;C-03;Habitat;;;P032;Renovation urbaine;Recette;Fonctionnement;0
31823763-b7ac-48bc-b7c3-56533ec10625;C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P024;Commerce et artisanat;Depense;Subventions;241625
31b0fdfd-87e8-48b0-9e75-f28496fd01c8;B-;DEVELOPPEMENT CULTUREL;B-03;Lecture publique et archives;;;P019;Archives municipales;Depense;Fonctionnement;111950
31db5211-8339-448b-8d22-4b280d00d559;C-;DEVELOPPEMENT URBAIN DURABLE;C-06;Paysages et patrimoine urbains;;;P037;Paysages urbains;Depense;Investissement;10246846,75
3301b454-443b-417c-86f9-e8f330bd5c0f;J-;PERFORMANCE DE LA COLLECTIVITE;J-02;Gestion financière;;;P101;Gestion budgetaire;Depense;Fonctionnement;4505537,59
337de728-c945-4bb5-99f2-5d8ddb766074;C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P026;Emploi;Depense;Subventions;479092
33fc533f-32c0-4db9-b0a1-dea8d3d56d15;C-;DEVELOPPEMENT URBAIN DURABLE;C-04;Vie et depl. dans les esp.urb.;;;P034;Amenagement des espaces de circulation;Depense;Investissement;2644491
343d6395-2b2e-43e7-bc87-11ba06d8c287;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-05;E administration;;;P128;Territoire innovant - mobile;Depense;Subventions;20000
34aac73d-e715-4d2f-be2d-fd6c0872fe8e;J-;PERFORMANCE DE LA COLLECTIVITE;J-01;Gestion dev. Ress. humaines;;;P095;Prestations aux services et frais generaux;Depense;Subventions;483680
35a481a0-c8f7-47c3-a7f5-6df5615b61f6;C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P025;Croissance et Filières;Depense;Fonctionnement;72960
36c1bed4-b316-4a3f-86aa-80f7a4eb81cd;B-;DEVELOPPEMENT CULTUREL;B-01;Enseignement artistique;;;P011;Ecole superieure d'Art de Bordeaux;Recette;Investissement;0
370f0e6a-90c7-4a43-89cc-3f8ad1089c9b;F-;DEVELOPPEMENT SPORTIF;F-01;Equipements sportifs struct.;F-0101;Equipements structurants delegues;P050;DSP Golf Bordeaux Lac;Recette;Investissement;0
37aca6ff-7d82-4dd1-9ea3-af0ea4ee1cbd;C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P026;Emploi;Depense;Investissement;0
37c15dd1-086a-4667-87d5-26057975dd5a;J-;PERFORMANCE DE LA COLLECTIVITE;J-01;Gestion dev. Ress. humaines;;;P096;Restauration du personnel assujettie;Recette;Fonctionnement;1087000
383008e4-6cc9-45bc-abf8-cfd875d10ab9;B-;DEVELOPPEMENT CULTUREL;B-01;Enseignement artistique;;;P011;Ecole superieure d'Art de Bordeaux;Recette;Fonctionnement;40000
38b175c2-1407-4816-97e4-d52174d2473a;A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P005;Animation du patrimoine;Depense;Fonctionnement;110800
38f2fbda-2ec4-4584-bb11-33dda8f93114;J-;PERFORMANCE DE LA COLLECTIVITE;J-04;Strategie et gestion immo.;;;P104;Travaux et gestion du patrimoine administratif;Recette;Fonctionnement;1276000
39480736-7619-429c-9b5b-d80df1d2b1f2;A-;ATTRACTIVITE ET RAYONNEMENT;A-04;Tourisme;;;P008;Tourisme urbain;Depense;Subventions;2070000
39b48487-aab3-49e5-8752-75e1addc78b0;B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P015;Musee des Beaux-Arts;Recette;Investissement;0
3abdf515-f97e-469e-98d1-860ef3b8870e;C-;DEVELOPPEMENT URBAIN DURABLE;C-02;Amenagement urbain;;;P029;Amenagement;Depense;Investissement;2192000
3c1eb530-b310-4e04-9190-7c918d04b390;B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P020;Opera;Depense;Investissement;80000
3ceb3767-f6e8-4ce5-a9ec-e71e88570f94;G-;Vie en societe;G-02;Education;;;P065;Patrimoine et equipements de l'education;Recette;Fonctionnement;0
3d08cbf3-9839-493e-9f40-fbf05d41f688;D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-01;Proprete urbaine;;;P040;Enlèvement des dechets;Depense;Fonctionnement;1250000
3e1d3b86-506b-4702-a5a0-6439ea9a4975;D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-01;Proprete urbaine;;;P123;Sanitaires ;Depense;Investissement;15500
3e2219cb-24bf-4e55-9cfd-a294363de094;A-;ATTRACTIVITE ET RAYONNEMENT;A-01;Rayonnement architectural et urbain;;;P001;Rayonnement architectural et urbain;Depense;Fonctionnement;225320
3e6940eb-7d11-480d-bc35-db8b85508647;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-05;E administration;;;P117;Performance technique du SI;Depense;Investissement;1195000
3ef686d2-7b0b-4a51-b6fc-e29e61fc6141;F-;DEVELOPPEMENT SPORTIF;F-01;Equipements sportifs struct.;F-0101;Equipements structurants delegues;P135;Affermage Equip. Sport Loisirs;Depense;Fonctionnement;1007976
3f075f6c-8f17-42b6-8262-029fcf57350a;B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P021;Actions de developpement artistique;Recette;Fonctionnement;10000
3f9120fd-3439-4cf7-a538-95025f74e110;C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P025;Croissance et Filières;Depense;Subventions;260575
3fcbc566-ec17-4e05-84d2-e5b9edc54421;G-;Vie en societe;G-06;Cohesion sociale transversale;;;P073;Projet social;Depense;Subventions;13500
3ff6db85-2161-4d25-995b-c1cd2e514dd0;C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P028;Innovation - Enseignement superieur;Depense;Investissement;0
416e95a5-3cf4-4079-882f-614eb2719b8d;G-;Vie en societe;G-03;Jeunesse;;;P069;Accueil educatifs et de loisirs;Recette;Fonctionnement;3480000
41bfacb5-6bab-490f-8395-377a45d6b557;J-;PERFORMANCE DE LA COLLECTIVITE;J-02;Gestion financière;;;P100;Dette, Investissement et operations comptables;Recette;Investissement;68845000
41c90b62-701a-44d4-9308-5c9c95ac856a;J-;PERFORMANCE DE LA COLLECTIVITE;J-05;Logistique et exploitation;;;P112;Logistique;Depense;Fonctionnement;992200
4200b807-e716-44b5-a6d3-32272beeeda3;F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0302;Construction et gestion des equipements;P061;Rehabilitation et construction d'equipements sportifs;Depense;Fonctionnement;0
42199494-d1a9-4a16-9f8c-8d65dd5a546c;C-;DEVELOPPEMENT URBAIN DURABLE;C-03;Habitat;;;P031;Logement;Depense;Fonctionnement;5700
42274424-69f3-404f-8eb7-9d14b0b3005e;G-;Vie en societe;G-05;Seniors;G-0502;Vie à domicile;P075;Activites des seniors;Depense;Fonctionnement;318621
427fff3e-6aab-4548-a055-8a979638328b;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-04;Communication externe;;;P091;Communication externe;Recette;Fonctionnement;0
444ff54f-f6e5-4731-83d9-cb03269d36c7;C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P025;Croissance et Filières;Recette;Investissement;0
44af7518-e4d5-463c-ab21-612d10cb286d;B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P020;Opera;Recette;Investissement;0
44ecd7e6-2c90-4b7a-a604-8ac1c6abe30d;G-;Vie en societe;G-05;Seniors;G-0502;Vie à domicile;P076;Portage et restauration des seniors;Depense;Fonctionnement;1900000
451d08f9-df85-4c1d-8339-640b8cc659da;J-;PERFORMANCE DE LA COLLECTIVITE;J-01;Gestion dev. Ress. humaines;;;P095;Prestations aux services et frais generaux;Depense;Investissement;0
462b03f2-14db-4460-a32a-00cd19f99529;F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0302;Construction et gestion des equipements;P058;Gestion des equipements par les clubs;Depense;Fonctionnement;165000
466f5af2-0707-4a51-91c6-8411afd4a1cd;B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P021;Actions de developpement artistique;Depense;Fonctionnement;69700
46c61afc-7cdf-4699-b43d-e963335c0ffd;J-;PERFORMANCE DE LA COLLECTIVITE;J-04;Strategie et gestion immo.;;;P106;Cessions immobilières;Recette;Fonctionnement;0
47130037-39ed-4888-9d32-48e0bb85f23c;C-;DEVELOPPEMENT URBAIN DURABLE;C-03;Habitat;;;P032;Renovation urbaine;Recette;Investissement;89664
472cf538-7db9-49de-ad06-205855da11d4;J-;PERFORMANCE DE LA COLLECTIVITE;J-02;Gestion financière;;;P100;Dette, Investissement et operations comptables;Depense;Fonctionnement;9920000
47c683f9-ef6b-4251-9ce1-d0c10101af96;F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0302;Construction et gestion des equipements;P133;Bowling et tennis de Meriadeck;Depense;Investissement;25000
